,Compound,Date,Media Outlet,Negative,Neutral,Positive,Tweets Ago
0,0.0,Tue Aug 28 18:56:05 +0000 2018,@BBC,1.0,0.0,0.0,1
1,0.5423,Tue Aug 28 18:03:04 +0000 2018,@BBC,0.78,0.0,0.22,2
2,0.0,Tue Aug 28 16:01:02 +0000 2018,@BBC,1.0,0.0,0.0,3
3,0.5994,Tue Aug 28 14:51:38 +0000 2018,@BBC,0.795,0.0,0.205,4
4,0.3612,Tue Aug 28 14:51:32 +0000 2018,@BBC,0.848,0.0,0.152,5
5,0.0,Tue Aug 28 13:02:04 +0000 2018,@BBC,1.0,0.0,0.0,6
6,0.0,Tue Aug 28 12:48:59 +0000 2018,@BBC,1.0,0.0,0.0,7
7,0.4767,Tue Aug 28 12:00:18 +0000 2018,@BBC,0.728,0.0,0.272,8
8,0.8316,Tue Aug 28 11:33:00 +0000 2018,@BBC,0.63,0.0,0.37,9
9,-0.296,Tue Aug 28 11:01:01 +0000 2018,@BBC,0.896,0.104,0.0,10
10,0.4215,Tue Aug 28 08:00:16 +0000 2018,@BBC,0.823,0.0,0.177,11
11,0.0,Tue Aug 28 07:26:06 +0000 2018,@BBC,1.0,0.0,0.0,12
12,0.128,Tue Aug 28 07:00:13 +0000 2018,@BBC,0.821,0.077,0.103,13
13,0.624,Mon Aug 27 20:01:03 +0000 2018,@BBC,0.806,0.0,0.194,14
14,0.0772,Mon Aug 27 19:36:00 +0000 2018,@BBC,0.936,0.0,0.064,15
15,0.5859,Mon Aug 27 19:03:04 +0000 2018,@BBC,0.752,0.062,0.186,16
16,-0.4939,Mon Aug 27 18:12:05 +0000 2018,@BBC,0.862,0.138,0.0,17
17,0.0,Mon Aug 27 17:05:04 +0000 2018,@BBC,1.0,0.0,0.0,18
18,0.0772,Mon Aug 27 16:03:04 +0000 2018,@BBC,0.944,0.0,0.056,19
19,0.0,Mon Aug 27 14:08:03 +0000 2018,@BBC,1.0,0.0,0.0,20
20,0.0,Tue Aug 28 18:56:05 +0000 2018,@BBC,1.0,0.0,0.0,21
21,0.5423,Tue Aug 28 18:03:04 +0000 2018,@BBC,0.78,0.0,0.22,22
22,0.0,Tue Aug 28 16:01:02 +0000 2018,@BBC,1.0,0.0,0.0,23
23,0.5994,Tue Aug 28 14:51:38 +0000 2018,@BBC,0.795,0.0,0.205,24
24,0.3612,Tue Aug 28 14:51:32 +0000 2018,@BBC,0.848,0.0,0.152,25
25,0.0,Tue Aug 28 13:02:04 +0000 2018,@BBC,1.0,0.0,0.0,26
26,0.0,Tue Aug 28 12:48:59 +0000 2018,@BBC,1.0,0.0,0.0,27
27,0.4767,Tue Aug 28 12:00:18 +0000 2018,@BBC,0.728,0.0,0.272,28
28,0.8316,Tue Aug 28 11:33:00 +0000 2018,@BBC,0.63,0.0,0.37,29
29,-0.296,Tue Aug 28 11:01:01 +0000 2018,@BBC,0.896,0.104,0.0,30
30,0.4215,Tue Aug 28 08:00:16 +0000 2018,@BBC,0.823,0.0,0.177,31
31,0.0,Tue Aug 28 07:26:06 +0000 2018,@BBC,1.0,0.0,0.0,32
32,0.128,Tue Aug 28 07:00:13 +0000 2018,@BBC,0.821,0.077,0.103,33
33,0.624,Mon Aug 27 20:01:03 +0000 2018,@BBC,0.806,0.0,0.194,34
34,0.0772,Mon Aug 27 19:36:00 +0000 2018,@BBC,0.936,0.0,0.064,35
35,0.5859,Mon Aug 27 19:03:04 +0000 2018,@BBC,0.752,0.062,0.186,36
36,-0.4939,Mon Aug 27 18:12:05 +0000 2018,@BBC,0.862,0.138,0.0,37
37,0.0,Mon Aug 27 17:05:04 +0000 2018,@BBC,1.0,0.0,0.0,38
38,0.0772,Mon Aug 27 16:03:04 +0000 2018,@BBC,0.944,0.0,0.056,39
39,0.0,Mon Aug 27 14:08:03 +0000 2018,@BBC,1.0,0.0,0.0,40
40,0.0,Tue Aug 28 18:56:05 +0000 2018,@BBC,1.0,0.0,0.0,41
41,0.5423,Tue Aug 28 18:03:04 +0000 2018,@BBC,0.78,0.0,0.22,42
42,0.0,Tue Aug 28 16:01:02 +0000 2018,@BBC,1.0,0.0,0.0,43
43,0.5994,Tue Aug 28 14:51:38 +0000 2018,@BBC,0.795,0.0,0.205,44
44,0.3612,Tue Aug 28 14:51:32 +0000 2018,@BBC,0.848,0.0,0.152,45
45,0.0,Tue Aug 28 13:02:04 +0000 2018,@BBC,1.0,0.0,0.0,46
46,0.0,Tue Aug 28 12:48:59 +0000 2018,@BBC,1.0,0.0,0.0,47
47,0.4767,Tue Aug 28 12:00:18 +0000 2018,@BBC,0.728,0.0,0.272,48
48,0.8316,Tue Aug 28 11:33:00 +0000 2018,@BBC,0.63,0.0,0.37,49
49,-0.296,Tue Aug 28 11:01:01 +0000 2018,@BBC,0.896,0.104,0.0,50
50,0.4215,Tue Aug 28 08:00:16 +0000 2018,@BBC,0.823,0.0,0.177,51
51,0.0,Tue Aug 28 07:26:06 +0000 2018,@BBC,1.0,0.0,0.0,52
52,0.128,Tue Aug 28 07:00:13 +0000 2018,@BBC,0.821,0.077,0.103,53
53,0.624,Mon Aug 27 20:01:03 +0000 2018,@BBC,0.806,0.0,0.194,54
54,0.0772,Mon Aug 27 19:36:00 +0000 2018,@BBC,0.936,0.0,0.064,55
55,0.5859,Mon Aug 27 19:03:04 +0000 2018,@BBC,0.752,0.062,0.186,56
56,-0.4939,Mon Aug 27 18:12:05 +0000 2018,@BBC,0.862,0.138,0.0,57
57,0.0,Mon Aug 27 17:05:04 +0000 2018,@BBC,1.0,0.0,0.0,58
58,0.0772,Mon Aug 27 16:03:04 +0000 2018,@BBC,0.944,0.0,0.056,59
59,0.0,Mon Aug 27 14:08:03 +0000 2018,@BBC,1.0,0.0,0.0,60
60,0.0,Tue Aug 28 18:56:05 +0000 2018,@BBC,1.0,0.0,0.0,61
61,0.5423,Tue Aug 28 18:03:04 +0000 2018,@BBC,0.78,0.0,0.22,62
62,0.0,Tue Aug 28 16:01:02 +0000 2018,@BBC,1.0,0.0,0.0,63
63,0.5994,Tue Aug 28 14:51:38 +0000 2018,@BBC,0.795,0.0,0.205,64
64,0.3612,Tue Aug 28 14:51:32 +0000 2018,@BBC,0.848,0.0,0.152,65
65,0.0,Tue Aug 28 13:02:04 +0000 2018,@BBC,1.0,0.0,0.0,66
66,0.0,Tue Aug 28 12:48:59 +0000 2018,@BBC,1.0,0.0,0.0,67
67,0.4767,Tue Aug 28 12:00:18 +0000 2018,@BBC,0.728,0.0,0.272,68
68,0.8316,Tue Aug 28 11:33:00 +0000 2018,@BBC,0.63,0.0,0.37,69
