,Compound,Date,Negative,Neutral,Positive,Tweets Ago,User,text
0,-0.4404,Wed Aug 29 07:23:05 +0000 2018,0.868,0.132,0.0,1,@BBC,☕️ A coffee-delivering drone that can detect when people are tired and bring them a drink has been patented by tech… https://t.co/3nn2gKTE5A
1,0.0,Wed Aug 29 07:00:12 +0000 2018,1.0,0.0,0.0,1,@BBC,Everyone should get to go to the beach. https://t.co/8h0goL5kXU
2,0.0,Tue Aug 28 18:56:05 +0000 2018,1.0,0.0,0.0,1,@BBC,"🐢 Scientists have found new evidence confirming that turtles once lived without shells.
👉 https://t.co/xLIFJNJdh1 https://t.co/VUcP8zguW7"
3,0.5423,Tue Aug 28 18:03:04 +0000 2018,0.78,0.0,0.22,1,@BBC,A conversation with a homeless man inspired Stephen to attempt the unusual challenge of crossing the Alps on a spac… https://t.co/w6h0Yhe5bf
4,0.0,Tue Aug 28 16:01:02 +0000 2018,1.0,0.0,0.0,1,@BBC,😂 If Britney's songs were Scottish. https://t.co/Em0LRQmbFt
5,0.5994,Tue Aug 28 14:51:38 +0000 2018,0.795,0.0,0.205,1,@BBC,"RT @BBCOne: Be careful who you trust.

#Bodyguard. Continues Sundays at 9pm on @BBCOne. Or available to watch on @BBCiPlayer: https://t.co/…"
6,0.3612,Tue Aug 28 14:51:32 +0000 2018,0.848,0.0,0.152,1,@BBC,"RT @BBCiPlayer: Watch the highlights from Reading and Leeds Festivals on BBC iPlayer 🙌 
https://t.co/AfQl9nXavO https://t.co/KGbRUouFCZ"
7,0.0,Tue Aug 28 13:02:04 +0000 2018,1.0,0.0,0.0,1,@BBC,"Once upon a time, two early humans of different ancestry met at a cave in Russia.

50,000 years later, scientists h… https://t.co/oOCBlGLFqQ"
8,0.0,Tue Aug 28 12:48:59 +0000 2018,1.0,0.0,0.0,1,@BBC,@BBCTravelShow is on @BBCiPlayer now 👉 https://t.co/Sqn5y0xC80
9,0.4767,Tue Aug 28 12:00:18 +0000 2018,0.728,0.0,0.272,1,@BBC,🍅 Neighbourhood gardens are providing important access to fresh food in urban areas. https://t.co/wLol6vY5rW
10,0.8316,Tue Aug 28 11:33:00 +0000 2018,0.63,0.0,0.37,1,@BBC,"This sweet, sticky rice is hit 100 times with a mallet to create a delicious Japanese dessert. 🍚🔨 #TheTravelShow https://t.co/jLazGPrVH1"
11,-0.296,Tue Aug 28 11:01:01 +0000 2018,0.896,0.104,0.0,1,@BBC,🍯 Honey and over-the-counter meds should be the first line of treatment for most people with coughs to avoid antibi… https://t.co/di9e7UgCm9
12,0.4215,Tue Aug 28 08:00:16 +0000 2018,0.823,0.0,0.177,1,@BBC,"❤️🐾 So many puppies and kittens will be safer because of this.
#LucysLaw https://t.co/LyF6u8hy2n"
13,0.0,Tue Aug 28 07:26:06 +0000 2018,1.0,0.0,0.0,1,@BBC,"What's the real price of getting rid of plastic packaging?
👉 https://t.co/RyTb9nF0CF https://t.co/MwiKgBExnZ"
